Division,District,Upazila,Depth,Arsenic,Union
Chittagong,Noakhali,Noakhali Sadar (Sudharam),216,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),245,0,Anderchar
Chittagong,Noakhali,Noakhali Sadar (Sudharam),244,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),246,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),260,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),218,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),246,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),244,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),232,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),265,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),244,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),223,0,Ewazbalia
Chittagong,Noakhali,Noakhali Sadar (Sudharam),245,0,Kaladaraf
Chittagong,Noakhali,Noakhali Sadar (Sudharam),209,0,Ewazbalia
Chittagong,Noakhali,Noakhali Sadar (Sudharam),245,0,Ewazbalia
Chittagong,Noakhali,Noakhali Sadar (Sudharam),259,0,Ewazbalia
Chittagong,Noakhali,Noakhali Sadar (Sudharam),244,0,Noakhali
Chittagong,Noakhali,Sonaimuri,258,0,Baragaon
Chittagong,Noakhali,Noakhali Sadar (Sudharam),247,0,Noakhali
Chittagong,Noakhali,Noakhali Sadar (Sudharam),257,0,Ewazbalia
Chittagong,Noakhali,Noakhali Sadar (Sudharam),258,0,Ewazbalia
Chittagong,Noakhali,Noakhali Sadar (Sudharam),257,0,Ewazbalia
Chittagong,Noakhali,Noakhali Sadar (Sudharam),248,0,Noakhali
Chittagong,Noakhali,Noakhali Sadar (Sudharam),259,0,Noakhali
Chittagong,Noakhali,Noakhali Sadar (Sudharam),246,0,Ewazbalia
Chittagong,Noakhali,Noakhali Sadar (Sudharam),259,0,Ewazbalia
Chittagong,Noakhali,Noakhali Sadar (Sudharam),287,0,Noakhali
Chittagong,Noakhali,Subarnachar,256,0,Char Clerk
Chittagong,Noakhali,Noakhali Sadar (Sudharam),284,0,Noakhali
Chittagong,Noakhali,Subarnachar,265,0,Char Jabbar
Chittagong,Noakhali,Noakhali Sadar (Sudharam),266,0,Noakhali
Chittagong,Noakhali,Subarnachar,216,0,Char Jubille
Chittagong,Noakhali,Subarnachar,257,0,Char Jubille
Chittagong,Noakhali,Subarnachar,251,0,Char Jubille
Chittagong,Noakhali,Noakhali Sadar (Sudharam),259,0,Noakhali
Chittagong,Noakhali,Noakhali Sadar (Sudharam),259,0,Noakhali
Chittagong,Noakhali,Subarnachar,297,0,Char Jabbar
Chittagong,Noakhali,Noakhali Sadar (Sudharam),290,0,Noakhali
Chittagong,Noakhali,Subarnachar,266,0,Char Jabbar
Chittagong,Noakhali,Subarnachar,290,0,Char Jubille
Chittagong,Noakhali,Noakhali Sadar (Sudharam),293,0,Noakhali
Chittagong,Noakhali,Subarnachar,219,0,Char Jabbar
Chittagong,Noakhali,Noakhali Sadar (Sudharam),274,0,Noakhali
Chittagong,Noakhali,Subarnachar,282,0,Char Jubille
Chittagong,Noakhali,Subarnachar,263,0,Char Jubille
Chittagong,Noakhali,Subarnachar,251,0,Char Jabbar
Chittagong,Noakhali,Subarnachar,253,0,Char Jabbar
Chittagong,Noakhali,Subarnachar,261,0,Char Jabbar
Chittagong,Noakhali,Subarnachar,246,0,Char Jabbar
Chittagong,Noakhali,Subarnachar,260,0,Char Jabbar
Chittagong,Noakhali,Subarnachar,268,0,Char Jubille
Chittagong,Noakhali,Noakhali Sadar (Sudharam),268,0,Noakhali
Chittagong,Noakhali,Companiganj,257,0,Musapur
Chittagong,Noakhali,Subarnachar,245,0,Char Jabbar
Chittagong,Noakhali,Companiganj,293,0,Char Elahi
Chittagong,Noakhali,Subarnachar,255,0,Char Jubille
Chittagong,Feni,Sonagazi,250,0,Amirabad
Chittagong,Feni,Sonagazi,212,0,Amirabad
Chittagong,Feni,Sonagazi,238,0,Amirabad
Chittagong,Feni,Sonagazi,207,0,Amirabad
Chittagong,Feni,Sonagazi,233,0,Amirabad
Chittagong,Feni,Sonagazi,237,0,Amirabad
Chittagong,Feni,Sonagazi,207,0,Amirabad
Chittagong,Feni,Sonagazi,204,0,Char Chandia
Chittagong,Feni,Sonagazi,191,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,203,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,196,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,205,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,239,0,Char Darbesh
Chittagong,Feni,Sonagazi,212,0,Char Darbesh
Chittagong,Feni,Sonagazi,235,0,Char Darbesh
Chittagong,Feni,Sonagazi,206,0,Char Darbesh
Chittagong,Feni,Sonagazi,219,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,207,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,247,0,Char Darbesh
Chittagong,Feni,Sonagazi,237,0,Char Darbesh
Chittagong,Feni,Sonagazi,207,0,Sonagazi
Chittagong,Feni,Sonagazi,206,0,Sonagazi
Chittagong,Feni,Sonagazi,196,0,Sonagazi
Chittagong,Feni,Sonagazi,194,0,Sonagazi
Chittagong,Feni,Sonagazi,249,0,Sonagazi
Chittagong,Feni,Sonagazi,207,0,Sonagazi
Chittagong,Feni,Sonagazi,249,0,Sonagazi
Chittagong,Feni,Sonagazi,198,0,Sonagazi
Chittagong,Feni,Sonagazi,206,0,Sonagazi
Chittagong,Feni,Sonagazi,221,0,Sonagazi
Chittagong,Feni,Sonagazi,197,0,Char Majlishpur
Chittagong,Feni,Sonagazi,203,0,Char Majlishpur
Chittagong,Feni,Sonagazi,261,0,Char Majlishpur
Chittagong,Feni,Sonagazi,288,0,Bagadana
Chittagong,Feni,Sonagazi,213,0,Bagadana
Chittagong,Feni,Sonagazi,214,0,Bagadana
Chittagong,Feni,Sonagazi,230,0,Bagadana
Chittagong,Feni,Sonagazi,214,0,Bagadana
Chittagong,Feni,Sonagazi,259,0,Matiganj
Chittagong,Feni,Sonagazi,209,0,Amirabad
Chittagong,Feni,Sonagazi,237,0,Matiganj
Chittagong,Feni,Sonagazi,262,0,Matiganj
Chittagong,Feni,Sonagazi,226,0,Amirabad
Chittagong,Feni,Sonagazi,221,0,Amirabad
Chittagong,Feni,Sonagazi,220,0,Matiganj
Chittagong,Feni,Sonagazi,233,0,Matiganj
Chittagong,Feni,Sonagazi,222,0,Char Darbesh
Chittagong,Feni,Sonagazi,224,0,Char Darbesh
Chittagong,Feni,Sonagazi,210,0,Char Darbesh
Chittagong,Feni,Sonagazi,233,0,Char Darbesh
Chittagong,Feni,Sonagazi,239,0,Char Darbesh
Chittagong,Feni,Sonagazi,210,0,Char Darbesh
Chittagong,Feni,Sonagazi,227,0,Char Darbesh
Chittagong,Feni,Sonagazi,274,0,Matiganj
Chittagong,Feni,Sonagazi,234,0,Char Darbesh
Chittagong,Feni,Sonagazi,239,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,233,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,204,0,Char Darbesh
Chittagong,Feni,Sonagazi,205,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,205,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,199,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,238,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,232,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,225,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,231,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,222,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,226,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,200,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,207,0,Sonagazi
Chittagong,Feni,Sonagazi,222,0,Amirabad
Chittagong,Feni,Sonagazi,205,0,Sonagazi
Chittagong,Feni,Feni Sadar,214,0,Baligaon
Chittagong,Feni,Sonagazi,249,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,239,0,Amirabad
Chittagong,Feni,Sonagazi,202,0,Amirabad
Chittagong,Feni,Sonagazi,201,0,Sonagazi
Chittagong,Feni,Sonagazi,235,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,213,0,Sonagazi
Chittagong,Feni,Sonagazi,242,0,Sonagazi
Chittagong,Feni,Sonagazi,231,0,Sonagazi
Chittagong,Feni,Sonagazi,235,0,Sonagazi
Chittagong,Feni,Sonagazi,234,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,226,0,Sonagazi Paurashava
Chittagong,Feni,Sonagazi,237,0,Sonagazi
Chittagong,Feni,Sonagazi,230,0,Amirabad
Chittagong,Feni,Sonagazi,252,0,Amirabad
Chittagong,Feni,Sonagazi,268,0,Amirabad
Chittagong,Feni,Sonagazi,271,0,Amirabad
Chittagong,Feni,Sonagazi,268,0,Amirabad
Chittagong,Feni,Sonagazi,208,0,Amirabad
Chittagong,Chittagong,Sandwip,212,0,Kalapania
Chittagong,Feni,Sonagazi,200,0,Amirabad
Chittagong,Feni,Sonagazi,198,0,Amirabad
Chittagong,Feni,Sonagazi,203,0,Amirabad
Chittagong,Feni,Sonagazi,211,0,Amirabad
Chittagong,Feni,Sonagazi,213,0,Bagadana
