path,correct
Khulna#Chuadanga#Chuadanga#Maminpur,Khulna#Chuadanga#Chuadanga Sadar#Mominpur
Khulna#Chuadanga#Chuadanga#Sankarchandra,Khulna#Chuadanga#Chuadanga Sadar#Shankar Chandra
Khulna#Chuadanga#Jibannagar#Jiban Nagar,Khulna#Chuadanga#Jiban Nagar#Jiban Nagar Paurashava
Khulna#Khulna#Dacope#Eanisanta,~none~
Khulna#Khulna#Dacope#Chalna,Khulna#Khulna#Dacope#Chalna Paurashava
Khulna#Khulna#Dacope#Kailashganj,Khulna#Khulna#Dacope#Kailasganj
Khulna#Khulna#Dacope#Kamar Khola,Khulna#Khulna#Dacope#Kamarkhola
Khulna#Jhenaidah#Harinakunda#Harinakunda,Khulna#Jhenaidah#Harinakunda#Harinakunda Paurashava
Sylhet#Habiganj#Baniachang#Uttar Paschim Baniachang,Sylhet#Habiganj#Baniachong#Uttar Paschim Baniyachang
Sylhet#Habiganj#Baniachang#Dakshin Purba Baniachang,Sylhet#Habiganj#Baniachong#Dakshin Purba Baniyachang
Sylhet#Habiganj#Baniachang#Dakshin Paschim Baniachang,Sylhet#Habiganj#Baniachong#Dakshin Paschim Baniyachang
Sylhet#Habiganj#Baniachang#Umednagar,~none~
Sylhet#Sylhet#Beanibazar#Bara Mollahpur,Sylhet#Sylhet#Beani Bazar#Mollahpur
Sylhet#Sylhet#Beanibazar#Beanibazar,Sylhet#Sylhet#Beani Bazar#Beani Bazar Paurashava
Sylhet#Sylhet#Beanibazar#Kurarbazar,Sylhet#Sylhet#Beani Bazar#Kurar Bazar
Sylhet#Sylhet#Kanaighat#Paschim Laxmiprasad,Sylhet#Sylhet#Kanaighat#Paschim Lakshmip Rasad
Sylhet#Sylhet#Kanaighat#Purba LaxshmiPprasad,Sylhet#Sylhet#Kanaighat#Purba Lakshmi Prasad
Sylhet#Sunamganj#Chhatak#Deokapon,~none~
Sylhet#Sunamganj#Chhatak#Dolar Bazar,Sylhet#Sunamganj#Chhatak#Dular Bazar
Sylhet#Sunamganj#Chhatak#Chhatak Pourashava,Sylhet#Sunamganj#Chhatak#Chhatak Paurashava
Sylhet#Sunamganj#Derai#Bhatipara,Sylhet#Sunamganj#Derai#Bhati Para
Sylhet#Sunamganj#Derai#Derai Pourashava,Sylhet#Sunamganj#Derai#Derai Paurashava
Sylhet#Sunamganj#Dharmapasha#Dakshin Bongsikunda,Sylhet#Sunamganj#Dharampasha#Dakshin Bongshikunda
Sylhet#Sunamganj#Dharmapasha#Uttar Bongshikunda,Sylhet#Sunamganj#Dharampasha#Uttar Bangshikunda
Sylhet#Sunamganj#Dowara Bazar#Laxmipur,Sylhet#Sunamganj#Dowarabazar#Lakshmipur
Sylhet#Sunamganj#Dowara Bazar#Uttar Dowarabazar,~none~
Sylhet#Sunamganj#Dowara Bazar#Uttar Purba Dowarabazar,~none~
Sylhet#Sunamganj#Jamalganj#Bhimkhali,Sylhet#Sunamganj#Jamalganj#Vimkhali
Sylhet#Sunamganj#Jamalganj#Sachnabazar,Sylhet#Sunamganj#Jamalganj#Sachna Bazar
Sylhet#Maulvibazar#Kamalganj#Kamalganj Pourasava,Sylhet#Maulvibazar#Kamalganj#Kamalganj Paurashava
Chittagong#Brahmanbaria#Akhaura#Akhaura Pourashava,Chittagong#Brahamanbaria#Akhaura#Akhaura Paurashava
Chittagong#Brahmanbaria#Brahmanbaria#Budhanti,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Chandura,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Char Islampur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Dakshin Ichhapur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Dakshin Singerbil,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Harashpur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Paharpur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Pattan,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Uttar Ichhapur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Bishnupur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Budhol,Chittagong#Brahamanbaria#Brahmanbaria Sadar#Budhal
Chittagong#Comilla#Chandina#Uttar Barera,Chittagong#Comilla#Chandina#Barera
Chittagong#Comilla#Chandina#Dakshin Barera,Chittagong#Comilla#Chandina#Barera
Chittagong#Comilla#Chandina#Uttar Bara kari,Chittagong#Comilla#Chandina#Bara Karai (uttar Bara Karai)
Chittagong#Comilla#Chandina#Dakshin Barakarai,Chittagong#Comilla#Chandina#Joyag (dakshin Bara Karai)
Chittagong#Comilla#Chandina#Purba Chandina,~none~
Chittagong#Comilla#Chandina#Paschim Chandina,~none~
Chittagong#Comilla#Chandina#Uttar Gallai,Chittagong#Comilla#Chandina#Gallai (uttar Gallai Union)
Chittagong#Comilla#Chandina#Dakshin Gallai,~none~
Chittagong#Comilla#Chandina#Mahichail,Chittagong#Comilla#Chandina#Mahichal
Chittagong#Comilla#Chandina#Purba Suhilpur,~none~
Chittagong#Comilla#Chandina#Paschim Suhilpur,Chittagong#Comilla#Chandina#Suhilpur (paschim Silpur)
Chittagong#Comilla#Chauddagram#Jaganath Dighi,Chittagong#Comilla#Chauddagram#Jagannath Dighi
Chittagong#Comilla#Debidwar#Uttar Bara Shalghar,Chittagong#Comilla#Debidwar#Bara Shalghar
Chittagong#Comilla#Debidwar#Dakshin Bara Shalgar,Chittagong#Comilla#Debidwar#Bara Shalghar
Chittagong#Comilla#Debidwar#Uttar Barkamta,Chittagong#Comilla#Debidwar#Barkamta
Chittagong#Comilla#Debidwar#Dakshin Barkamta,Chittagong#Comilla#Debidwar#Barkamta
Chittagong#Comilla#Debidwar#Uttar Jafarganj,Chittagong#Comilla#Debidwar#Jafarganj
Chittagong#Comilla#Debidwar#Dakshin Jafarganj,Chittagong#Comilla#Debidwar#Jafarganj
Chittagong#Comilla#Debidwar#Uttar Rajamehar,Chittagong#Comilla#Debidwar#Rajamehar
Chittagong#Comilla#Debidwar#Dakshin Rajamehar,Chittagong#Comilla#Debidwar#Rajamehar
Chittagong#Noakhali#Chatkhil#Badalkot,Chittagong#Noakhali#Chatkhil#Badalkut
Chittagong#Noakhali#Chatkhil#Chatkhil,Chittagong#Noakhali#Chatkhil#Chatkhil Paurashava
Chittagong#Noakhali#Chatkhil#Khilpara,~none~
Chittagong#Noakhali#Chatkhil#Chatkhil Pourashava,Chittagong#Noakhali#Chatkhil#Chatkhil Paurashava
Chittagong#Noakhali#Companiganj#Basurhat Pourashova,Chittagong#Noakhali#Companiganj#Basurhat Paurashava
Chittagong#Feni#Dagan Bhuiyan#Purba Chandpur,Chittagong#Feni#Daganbhuiyan#Purba Chandrapur
Chittagong#Feni#Dagan Bhuiyan#Pourashava,Chittagong#Feni#Daganbhuiyan#Daganbhuiyan Paurashava
Chittagong#Feni#Feni Sadar#Kalidaha,Chittagong#Feni#Feni Sadar#Kalidah
Chittagong#Feni#Feni Sadar#Panchgachhia,Chittagong#Feni#Feni Sadar#Panchgachhiya
Dhaka#Faridpur#Boalmari#Boalmari Pourashava,Dhaka#Faridpur#Boalmari#Boalmari Paurashava
Dhaka#Faridpur#Faridpur Sadar#Deceerchar,Dhaka#Faridpur#Faridpur Sadar#Decreerchar
Dhaka#Faridpur#Faridpur Sadar#Faridpur Municipality,Dhaka#Faridpur#Faridpur Sadar#Faridpur Paurashava
Dhaka#Narayanganj#Araihazar#Kalapaharia,Dhaka#Narayanganj#Araihazar#Kala Paharia
Dhaka#Narayanganj#Araihazar#Uchitpura,Dhaka#Narayanganj#Araihazar#Uchitpur
Dhaka#Netrokona#Atpara#Loneswar,Mymensingh#Netrakona#Atpara#Loneshwar
Dhaka#Netrokona#Durgapur#Chandigar,Mymensingh#Netrakona#Durgapur#Chandigarh
Dhaka#Netrokona#Durgapur#Durgapur Purasava,Mymensingh#Netrakona#Durgapur#Durgapur Paurashava
Dhaka#Shariatpur#Bhedarganj#Digar Mahishakhali,Dhaka#Shariatpur#Bhedarganj#Digar Mahishkhali
Dhaka#Shariatpur#Bhedarganj#Pourashava,Dhaka#Shariatpur#Bhedarganj#Bhedarganj Paurashava
Dhaka#Shariatpur#Damudya#Paschim Damudya,~none~
Dhaka#Shariatpur#Damudya#Islampur,Dhaka#Shariatpur#Damudya#Islam Pur
Dhaka#Manikganj#Daulatpur#Char Katari,Dhaka#Manikganj#Daulatpur#Charkatari
Dhaka#Madaripur#Kalkini#Char Daulatkhan,Dhaka#Madaripur#Kalkini#Char Daulat Khan
Dhaka#Madaripur#Kalkini#Kalkini Pourashava,Dhaka#Madaripur#Kalkini#Kalkini Paurashava
Dhaka#Gopalganj#Kashiani#Hatira,Dhaka#Gopalganj#Kashiani#Hatiara
Dhaka#Munshiganj#Lohajang#Khidirpara,Dhaka#Munshiganj#Lohajang#Khidir Para
Dhaka#Munshiganj#Lohajang#Lohajang,Dhaka#Munshiganj#Lohajang#Lohajang Teotia
Dhaka#Munshiganj#Lohajang#Medini Mondal,Dhaka#Munshiganj#Lohajang#Medini Mandal
Rajshahi#Sirajganj#Belkuchi#Baradhul,Rajshahi#Sirajganj#Belkuchi#Bara Dhul
Rajshahi#Sirajganj#Kamarkhanda#Jamtali,Rajshahi#Sirajganj#Kamarkhanda#Jamtail
Rajshahi#Sirajganj#Kamarkhanda#Roydaulatpur,Rajshahi#Sirajganj#Kamarkhanda#Roy Daulatpur
Rajshahi#Sirajganj#Kazipur#Chalita Danga,Rajshahi#Sirajganj#Kazipur#Chalitadanga
Rajshahi#Sirajganj#Kazipur#Maizbari,Rajshahi#Sirajganj#Kazipur#Maijbari
Rajshahi#Sirajganj#Kazipur#Nischintapur,Rajshahi#Sirajganj#Kazipur#Nishchintapur
Rajshahi#Sirajganj#Kazipur#Kazipur Pourasova,Rajshahi#Sirajganj#Kazipur#Kazipur Paurashava
Rajshahi#Bogra#Dhunat#Kalerpara,Rajshahi#Bogra#Dhunat#Kaler Para
Rajshahi#Gaibandha#Gobindaganj#Gobindaganj,~none~
Rajshahi#Gaibandha#Gobindaganj#Cochasahar,Rangpur#Gaibandha#Gobindaganj#Kochasahar
Rajshahi#Gaibandha#Gobindaganj#Rakhalburuz,Rangpur#Gaibandha#Gobindaganj#Rakhal Buruz
Rajshahi#Gaibandha#Gobindaganj#Salmara,Rangpur#Gaibandha#Gobindaganj#Shalmara
Rajshahi#Gaibandha#Gobindaganj#Gobindaganj Pourashava,~none~
Barisal#Bhola#Bhola#Velumia,~none~
Barisal#Bhola#Lalmohan#Lord Hardinge,Barisal#Bhola#Lalmohan#Lord Hardinje
Barisal#Bhola#Lalmohan#Lalmohan Pourashava,~none~
