path,correct
Khulna#Chuadanga#Chuadanga#Begumpur,Khulna#Chuadanga#Chuadanga Sadar#Begampur
Khulna#Chuadanga#Chuadanga#Maminpur,Khulna#Chuadanga#Chuadanga Sadar#Mominpur
Khulna#Chuadanga#Chuadanga#Sankarchandra,Khulna#Chuadanga#Chuadanga Sadar#Shankar Chandra
Khulna#Chuadanga#Jibannagar#Jiban Nagar,Khulna#Chuadanga#Jiban Nagar#Jiban Nagar Paurashava
Khulna#Khulna#Dacope#Eanisanta,Khulna#Khulna#Dacope#Banishanta
Khulna#Khulna#Dacope#Chalna,Khulna#Khulna#Dacope#Chalna Paurashava
Khulna#Khulna#Dacope#Kailashganj,Khulna#Khulna#Dacope#Kailasganj
Khulna#Khulna#Dacope#Kamar Khola,Khulna#Khulna#Dacope#Kamarkhola
Khulna#Jhenaidah#Harinakunda#Harinakunda,Khulna#Jhenaidah#Harinakunda#Harinakunda Paurashava
Sylhet#Habiganj#Baniachang#Uttar Paschim Baniachang,Sylhet#Habiganj#Baniachong#Uttar Paschim Baniyachang
Sylhet#Habiganj#Baniachang#Dakshin Purba Baniachang,Sylhet#Habiganj#Baniachong#Dakshin Purba Baniyachang
Sylhet#Habiganj#Baniachang#Dakshin Paschim Baniachang,Sylhet#Habiganj#Baniachong#Dakshin Paschim Baniyachang
Sylhet#Habiganj#Baniachang#Umednagar,~none~
Sylhet#Sylhet#Beanibazar#Bara Mollahpur,Sylhet#Sylhet#Beani Bazar#Mollahpur
Sylhet#Sylhet#Beanibazar#Beanibazar,Sylhet#Sylhet#Beani Bazar#Beani Bazar
Sylhet#Sylhet#Beanibazar#Kurarbazar,Sylhet#Sylhet#Beani Bazar#Kurar Bazar
Sylhet#Sylhet#Kanaighat#Paschim Laxmiprasad,Sylhet#Sylhet#Kanaighat#Paschim Lakshmip Rasad
Sylhet#Sylhet#Kanaighat#Purba LaxshmiPprasad,Sylhet#Sylhet#Kanaighat#Paschim Lakshmip Rasad
Sylhet#Sunamganj#Chhatak#Deokapon,~none~
Sylhet#Sunamganj#Chhatak#Dolar Bazar,Sylhet#Sunamganj#Chhatak#Dular Bazar
Sylhet#Sunamganj#Chhatak#Chhatak Pourashava,Sylhet#Sunamganj#Chhatak#Chhatak Paurashava
Sylhet#Sunamganj#Derai#Bhatipara,Sylhet#Sunamganj#Derai#Bhati Para
Sylhet#Sunamganj#Derai#Derai Pourashava,Sylhet#Sunamganj#Derai#Derai Paurashava
Sylhet#Sunamganj#Dharmapasha#Dakshin Bongsikunda,Sylhet#Sunamganj#Dharampasha#Dakshin Bongshikunda
Sylhet#Sunamganj#Dharmapasha#Uttar Bongshikunda,Sylhet#Sunamganj#Dharampasha#Uttar Bangshikunda
Sylhet#Sunamganj#Dowara Bazar#Laxmipur,Sylhet#Sunamganj#Dowarabazar#Lakshmipur
Sylhet#Sunamganj#Dowara Bazar#Uttar Dowarabazar,Sylhet#Sunamganj#Dowarabazar#Dakshin Dowarabazar
Sylhet#Sunamganj#Dowara Bazar#Uttar Purba Dowarabazar,~none~
Sylhet#Sunamganj#Jamalganj#Bhimkhali,~none~
Sylhet#Sunamganj#Jamalganj#Sachnabazar,Sylhet#Sunamganj#Jamalganj#Sachna Bazar
Sylhet#Maulvibazar#Kamalganj#Kamalganj Pourasava,Sylhet#Maulvibazar#Kamalganj#Kamalganj Paurashava
Chittagong#Brahmanbaria#Akhaura#Akhaura Pourashava,Chittagong#Brahamanbaria#Akhaura#Akhaura Paurashava
Chittagong#Brahmanbaria#Brahmanbaria#Basudeb,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Char Islampur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Dakshin Ichhapur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Dakshin Natai,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Dakshin Shuhilpur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Machhihata,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Majlishpur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Purba Talsahar,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Ramrail,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Sadekpur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Sultanpur,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Uttar Natai,~none~
Chittagong#Brahmanbaria#Brahmanbaria#Budhol,~none~
Chittagong#Comilla#Chandina#Uttar Barera,Chittagong#Comilla#Chandina#Barera
Chittagong#Comilla#Chandina#Dakshin Barera,Chittagong#Comilla#Chandina#Barera
Chittagong#Comilla#Chandina#Uttar Bara kari,Chittagong#Comilla#Chandina#Bara Karai (uttar Bara Karai)
Chittagong#Comilla#Chandina#Dakshin Barakarai,Chittagong#Comilla#Chandina#Bara Karai (uttar Bara Karai)
Chittagong#Comilla#Chandina#Purba Chandina,Chittagong#Comilla#Chandina#Barkait (purba Chandina Uni)
Chittagong#Comilla#Chandina#Paschim Chandina,Chittagong#Comilla#Chandina#Atbar Pur (Paschim Chandina)
Chittagong#Comilla#Chandina#Uttar Gallai,Chittagong#Comilla#Chandina#Gallai (uttar Gallai Union)
Chittagong#Comilla#Chandina#Dakshin Gallai,Chittagong#Comilla#Chandina#Gallai (uttar Gallai Union)
Chittagong#Comilla#Chandina#Mahichail,Chittagong#Comilla#Chandina#Mahichal
Chittagong#Comilla#Chandina#Purba Suhilpur,Chittagong#Comilla#Chandina#Suhilpur (paschim Silpur)
Chittagong#Comilla#Chandina#Paschim Suhilpur,Chittagong#Comilla#Chandina#Suhilpur (paschim Silpur)
Chittagong#Comilla#Chauddagram#Jaganath Dighi,Chittagong#Comilla#Chauddagram#Jagannath Dighi
Chittagong#Comilla#Debidwar#Uttar Bara Shalghar,Chittagong#Comilla#Debidwar#Bara Shalghar
Chittagong#Comilla#Debidwar#Dakshin Bara Shalgar,Chittagong#Comilla#Debidwar#Bara Shalghar
Chittagong#Comilla#Debidwar#Uttar Barkamta,Chittagong#Comilla#Debidwar#Barkamta
Chittagong#Comilla#Debidwar#Dakshin Barkamta,Chittagong#Comilla#Debidwar#Barkamta
Chittagong#Comilla#Debidwar#Uttar Jafarganj,Chittagong#Comilla#Debidwar#Jafarganj
Chittagong#Comilla#Debidwar#Dakshin Jafarganj,Chittagong#Comilla#Debidwar#Jafarganj
Chittagong#Comilla#Debidwar#Uttar Rajamehar,Chittagong#Comilla#Debidwar#Rajamehar
Chittagong#Comilla#Debidwar#Dakshin Rajamehar,Chittagong#Comilla#Debidwar#Rajamehar
Chittagong#Noakhali#Chatkhil#Badalkot,Chittagong#Noakhali#Chatkhil#Badalkut
Chittagong#Noakhali#Chatkhil#Chatkhil,Chittagong#Noakhali#Chatkhil#Khil Para
Chittagong#Noakhali#Chatkhil#Khilpara,Chittagong#Noakhali#Chatkhil#Khil Para
Chittagong#Noakhali#Chatkhil#Chatkhil Pourashava,Chittagong#Noakhali#Chatkhil#Chatkhil Paurashava
Chittagong#Noakhali#Companiganj#Basurhat Pourashova,Chittagong#Noakhali#Companiganj#Basurhat Paurashava
Chittagong#Feni#Dagan Bhuiyan#Purba Chandpur,Chittagong#Feni#Daganbhuiyan#Purba Chandrapur
Chittagong#Feni#Dagan Bhuiyan#Pourashava,Chittagong#Feni#Daganbhuiyan#Daganbhuiyan Paurashava
Chittagong#Feni#Feni Sadar#Kalidaha,Chittagong#Feni#Feni Sadar#Kalidah
Chittagong#Feni#Feni Sadar#Panchgachhia,Chittagong#Feni#Feni Sadar#Panchgachhiya
Dhaka#Faridpur#Boalmari#Boalmari Pourashava,Dhaka#Faridpur#Boalmari#Boalmari Paurashava
Dhaka#Faridpur#Faridpur Sadar#Deceerchar,Dhaka#Faridpur#Faridpur Sadar#Decreerchar
Dhaka#Faridpur#Faridpur Sadar#Faridpur Municipality,~none~
Dhaka#Narayanganj#Araihazar#Kalapaharia,Dhaka#Narayanganj#Araihazar#Kala Paharia
Dhaka#Narayanganj#Araihazar#Uchitpura,Dhaka#Narayanganj#Araihazar#Uchitpur
Dhaka#Netrokona#Atpara#Loneswar,Mymensingh#Netrakona#Atpara#Loneshwar
Dhaka#Netrokona#Durgapur#Chandigar,Mymensingh#Netrakona#Durgapur#Chandigarh
Dhaka#Netrokona#Durgapur#Durgapur Purasava,Mymensingh#Netrakona#Durgapur#Durgapur Paurashava
Dhaka#Shariatpur#Bhedarganj#Digar Mahishakhali,Dhaka#Shariatpur#Bhedarganj#Digar Mahishkhali
Dhaka#Shariatpur#Bhedarganj#Pourashava,Dhaka#Shariatpur#Bhedarganj#Bhedarganj Paurashava
Dhaka#Shariatpur#Damudya#Paschim Damudya,Dhaka#Shariatpur#Damudya#Damudya Paurashava
Dhaka#Shariatpur#Damudya#Islampur,~none~
Dhaka#Manikganj#Daulatpur#Char Katari,Dhaka#Manikganj#Daulatpur#Charkatari
Dhaka#Madaripur#Kalkini#Char Daulatkhan,Dhaka#Madaripur#Kalkini#Char Daulat Khan
Dhaka#Madaripur#Kalkini#Kalkini Pourashava,Dhaka#Madaripur#Kalkini#Kalkini Paurashava
Dhaka#Gopalganj#Kashiani#Hatira,Dhaka#Gopalganj#Kashiani#Hatiara
Dhaka#Munshiganj#Lohajang#Khidirpara,Dhaka#Munshiganj#Lohajang#Khidir Para
Dhaka#Munshiganj#Lohajang#Lohajang,Dhaka#Munshiganj#Lohajang#Lohajang Teotia
Dhaka#Munshiganj#Lohajang#Medini Mondal,Dhaka#Munshiganj#Lohajang#Medini Mandal
Rajshahi#Sirajganj#Belkuchi#Baradhul,Rajshahi#Sirajganj#Belkuchi#Bara Dhul
Rajshahi#Sirajganj#Kamarkhanda#Jamtali,Rajshahi#Sirajganj#Kamarkhanda#Jamtail
Rajshahi#Sirajganj#Kamarkhanda#Roydaulatpur,Rajshahi#Sirajganj#Kamarkhanda#Roy Daulatpur
Rajshahi#Sirajganj#Kazipur#Chalita Danga,Rajshahi#Sirajganj#Kazipur#Chalitadanga
Rajshahi#Sirajganj#Kazipur#Maizbari,~none~
Rajshahi#Sirajganj#Kazipur#Nischintapur,Rajshahi#Sirajganj#Kazipur#Nishchintapur
Rajshahi#Sirajganj#Kazipur#Kazipur Pourasova,Rajshahi#Sirajganj#Kazipur#Kazipur Paurashava
Rajshahi#Bogra#Dhunat#Kalerpara,Rajshahi#Bogra#Dhunat#Kaler Para
Rajshahi#Gaibandha#Gobindaganj#Gobindaganj,Rangpur#Gaibandha#Gobindaganj#Paurashava
Rajshahi#Gaibandha#Gobindaganj#Cochasahar,Rangpur#Gaibandha#Gobindaganj#Kochasahar
Rajshahi#Gaibandha#Gobindaganj#Rakhalburuz,Rangpur#Gaibandha#Gobindaganj#Rakhal Buruz
Rajshahi#Gaibandha#Gobindaganj#Salmara,Rangpur#Gaibandha#Gobindaganj#Shalmara
Rajshahi#Gaibandha#Gobindaganj#Gobindaganj Pourashava,Rangpur#Gaibandha#Gobindaganj#Paurashava
Barisal#Bhola#Bhola#Velumia,Barisal#Bhola#Bhola Sadar#Bhelu Miah
Barisal#Bhola#Lalmohan#Lord Hardinge,Barisal#Bhola#Lalmohan#Lord Hardinje
Barisal#Bhola#Lalmohan#Lalmohan Pourashava,Barisal#Bhola#Lalmohan#Paurashava
